name,lat,lng,address,phone,type
ACTREC BLOOD BANK,19.0435,73.0645,"Sector 22, Kharghar",022-27405073,blood_bank
ANVIKSHA PATHOLOGICAL LAB,19.0855,72.9082,"Ghatkopar (E)",022-21026290,blood_bank
ARPAN BLOOD BANK,19.1452,72.9361,"Bhandup (W)",022-25951044,blood_bank
ASHIRWAD BLOOD BANK,19.0189,72.8441,"Dadar TT",022-24154826,blood_bank
ASIAN HEART INSTITUTE,19.0655,72.8601,"BKC, Bandra",022-66986570,blood_bank
B. D. PETIT PARSEE GENERAL,18.9645,72.8052,"Cumballa Hill",022-23685350,blood_bank
BARC HOSPITAL BLOOD BANK,19.0425,72.9255,"Anushakti Nagar",022-25598353,blood_bank
HOLY FAMILY HOSPITAL,19.0553,72.8299,"Bandra",022-30610300,blood_bank
BOMBAY HOSPITAL TRUST,18.9401,72.8282,"Marine Lines",022-22067676,blood_bank
BORIVALI BLOOD BANK,19.2291,72.8574,"Borivali (W)",022-28936203,blood_bank
BREACH CANDY HOSPITAL,18.9718,72.8051,"Bhulabhai Desai Rd",022-23667811,blood_bank
BSES M.G. HOSPITAL,19.1195,72.8465,"Andheri (W)",022-26283557,blood_bank
CAMA AND ALBLESS HOSPITAL,18.9431,72.8322,"CST, Mumbai",022-22611654,blood_bank
DR. L. H. HIRANANDANI,19.1179,72.9102,"Powai",022-25763355,blood_bank
ESIC HOSPITAL BLOOD BANK,19.1175,72.8755,"Andheri (E)",022-28321361,blood_bank
FORTIS HOSPITAL,19.1678,72.9515,"Mulund",022-67994370,blood_bank
G.T. HOSPITAL BLOOD BANK,18.9439,72.8339,"Fort",022-22621468,blood_bank
DR. BABASAHEB AMBEDKAR MUN.,19.2055,72.8525,"Kandivali (W)",022-28647003,blood_bank
HEMATOLOGY LABORATORY,18.9555,72.8195,"Mama Parmanand Marg",022-23691297,blood_bank
P. D. HINDUJA NATIONAL,19.0335,72.8385,"Mahim",022-24451515,blood_bank
HOLY SPIRIT HOSPITAL,19.1235,72.8688,"Andheri (E)",022-28200353,blood_bank
INDIAN RED CROSS SOCIETY,18.9325,72.8355,"Town Hall Compound",022-22663195,blood_bank
