name,lat,lng,area,phone,type,capacity
Mumbai Central Ambulance Hub,18.9723,72.8200,"Mumbai Central",1916,ambulance,4
BKC Emergency Response,19.0655,72.8610,"Bandra Kurla Complex",022-26590000,ambulance,2
Andheri Mobile Blood Van,19.1195,72.8460,"Andheri West",022-26283000,mobile_van,8
Borivali Blood Mobile,19.2291,72.8570,"Borivali West",022-28936000,mobile_van,10
Dadar Rapid Response,19.0189,72.8440,"Dadar",022-24154000,ambulance,2
Kurla Emergency Unit,19.0754,72.8890,"Kurla",022-67556000,ambulance,3
Malad Blood Van,19.1855,72.8610,"Malad East",022-28714000,mobile_van,8
Powai Mobile Unit,19.1179,72.9100,"Powai",022-25763000,mobile_van,6
Thane Border Ambulance,19.1678,72.9510,"Mulund",022-67994000,ambulance,2
Colaba South Responder,18.9055,72.8150,"Colaba",022-22143000,ambulance,2
Ghatkopar Van,19.0825,72.9030,"Ghatkopar East",022-21025000,mobile_van,8
Goregaon Mobile,19.1636,72.8410,"Goregaon West",022-28797000,mobile_van,6
Bhandup Van,19.1452,72.9360,"Bhandup West",022-25951000,mobile_van,10
Sion Rapid Unit,19.0355,72.8590,"Sion",022-24021000,ambulance,3
Kandivali Blood Van,19.2055,72.8520,"Kandivali West",022-28647000,mobile_van,8
